00:01:00.016 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:01:00.065 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:04:00.013 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:04:00.069 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:07:00.007 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:07:00.044 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:10:00.052 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:110] - -------------------- 定时查询已添加的设备,对未注册的设备进行注册 -------------------- 
00:10:00.052 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:111] - 数据库记录的报警盒数量: 2
00:10:00.054 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:10:00.098 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:10:13.584 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:194] - post请求地址:http://192.168.112.158:60025/api/occ/ah/device/updateStateById,请求参数{"id":2,"model":"123","ip":"192.168.1.1","port":12,"factory":"qwer123","name":"123","num":"12","networkState":1,"createTime":"2020-11-13 17:26:03","lastOnlineTime":null,"lampPostId":3,"registrationSuccess":0}
00:10:13.600 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:194] - post请求地址:http://192.168.112.158:60025/api/occ/ah/device/updateStateById,请求参数{"id":1,"model":"123456","ip":"192.168.1.1","port":1234,"factory":"Exc1","name":"qwer","num":"111","networkState":1,"createTime":"2020-11-13 14:26:27","lastOnlineTime":null,"lampPostId":39,"registrationSuccess":0}
00:13:00.001 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:13:00.050 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:16:00.014 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:16:00.046 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:19:00.008 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:19:00.043 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:22:00.012 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:22:00.042 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:25:00.000 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:25:00.097 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:28:00.002 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:28:00.058 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:31:00.007 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:31:00.060 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:34:00.001 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:34:00.037 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:37:00.002 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:37:00.046 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:40:00.034 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:110] - -------------------- 定时查询已添加的设备,对未注册的设备进行注册 -------------------- 
00:40:00.035 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:111] - 数据库记录的报警盒数量: 2
00:40:00.038 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:40:00.067 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:40:13.546 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:194] - post请求地址:http://192.168.112.158:60025/api/occ/ah/device/updateStateById,请求参数{"id":1,"model":"123456","ip":"192.168.1.1","port":1234,"factory":"Exc1","name":"qwer","num":"111","networkState":1,"createTime":"2020-11-13 14:26:27","lastOnlineTime":null,"lampPostId":39,"registrationSuccess":0}
00:40:13.562 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:194] - post请求地址:http://192.168.112.158:60025/api/occ/ah/device/updateStateById,请求参数{"id":2,"model":"123","ip":"192.168.1.1","port":12,"factory":"qwer123","name":"123","num":"12","networkState":1,"createTime":"2020-11-13 17:26:03","lastOnlineTime":null,"lampPostId":3,"registrationSuccess":0}
00:43:00.011 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:43:00.060 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:46:00.005 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:46:00.055 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:49:00.012 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:49:00.060 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:52:00.009 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:52:00.039 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:55:00.015 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:55:00.082 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
00:58:00.008 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
00:58:00.049 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
01:01:00.008 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
01:01:00.040 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
01:04:00.000 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
01:04:00.042 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
01:07:00.016 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
01:07:00.053 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
01:10:00.054 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:110] - -------------------- 定时查询已添加的设备,对未注册的设备进行注册 -------------------- 
01:10:00.055 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:111] - 数据库记录的报警盒数量: 2
01:10:00.057 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
01:10:00.101 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
01:10:13.575 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:194] - post请求地址:http://192.168.112.158:60025/api/occ/ah/device/updateStateById,请求参数{"id":2,"model":"123","ip":"192.168.1.1","port":12,"factory":"qwer123","name":"123","num":"12","networkState":1,"createTime":"2020-11-13 17:26:03","lastOnlineTime":null,"lampPostId":3,"registrationSuccess":0}
01:10:13.575 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:194] - post请求地址:http://192.168.112.158:60025/api/occ/ah/device/updateStateById,请求参数{"id":1,"model":"123456","ip":"192.168.1.1","port":1234,"factory":"Exc1","name":"qwer","num":"111","networkState":1,"createTime":"2020-11-13 14:26:27","lastOnlineTime":null,"lampPostId":39,"registrationSuccess":0}
01:13:00.003 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
01:13:00.037 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
01:16:00.011 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
01:16:00.055 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
01:19:00.014 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
01:19:00.050 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
01:22:00.004 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
01:22:00.054 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
01:25:00.001 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
01:25:00.077 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
01:28:00.016 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
01:28:00.052 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
01:31:00.002 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
01:31:00.036 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
01:34:00.007 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
01:34:00.055 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
01:37:00.014 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
01:37:00.042 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
01:40:00.001 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:130] - -------------------- 定时检测设备是否在线 -------------------- 
01:40:00.079 INFO  c.e.s.l.occ.schedulers.SchedulerTask[line:141] - 已在线的报警盒数量: 2
